name,total_fights,wins,finishes,ko/tko_wins,submisson_wins,decision_wins,win_streak,title_fight_wins,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,win_rate
Chan Sung Jung,25,17,14,6,8,3,0,0,678,1635,5,18,3.93,4.52,0.70,0.61,52,73,0.43,12.20,529,57,92,529,81,68,68
Frankie Edgar,35,23,10,6,4,13,0,0,1801,4451,67,232,3.77,2.82,2.29,0.31,66,66,0.09,15.54,1263,129,409,1195,344,262,65.7142857143
Marlon Vera,30,21,16,8,8,5,1,0,1241,2455,11,28,4.37,5.16,0.58,0.95,52,70,0.63,12.54,965,134,151,689,256,287,70
Cory Sandhagen,21,17,10,7,3,7,3,0,790,1739,16,48,5.33,3.40,1.36,0.34,58,64,0.34,13.34,774,34,131,637,140,162,80.9523809524
Petr Yan,21,16,8,7,1,8,0,2,1016,1900,23,44,5.03,4.26,1.71,0.15,59,85,0.74,16.50,720,118,178,690,209,117,76.1904761905
Jan Blachowicz,40,29,18,9,9,11,0,2,894,1783,19,38,3.41,2.91,1.09,0.34,53,69,0.34,13.06,679,105,110,565,192,137,72.5
Cirly Gane,14,12,9,6,3,3,0,1,856,1406,6,28,5.49,2.19,0.58,0.48,63,50,0.29,14.10,767,65,24,377,238,241,85.7142857143
Serghei Spivac,19,16,13,7,6,3,0,0,315,637,27,42,3.54,3.79,4.56,0.51,50,70,0.00,08.05,158,14,143,301,10,4,84.2105263158
Alexander Gustafsson,26,18,14,11,3,4,0,0,751,1845,18,48,3.03,3.53,1.53,0.40,51,84,0.72,10.22,575,59,117,523,110,118,69.2307692308
Daniel Cormier,25,22,15,10,5,7,0,6,1216,2310,35,78,4.25,2.92,1.83,0.42,55,80,0.26,12.27,722,258,236,903,168,145,88
Anthony Johnson,28,22,17,17,0,5,0,0,381,800,19,33,3.25,1.83,2.43,0.64,60,77,1.66,06.10,214,67,100,255,57,69,78.5714285714
Glover Teixeira,42,33,28,18,10,5,0,1,1007,2023,20,112,3.73,4.43,2.11,0.94,51,60,0.33,10.20,500,93,414,861,129,17,78.5714285714
Calvin Kattar,30,23,13,11,2,10,0,0,905,2287,5,17,5.12,7.10,0.42,0.08,55,91,0.42,14.44,840,12,53,705,122,78,76.6666666667
Giga Chikadze,18,15,10,9,1,5,1,0,534,1237,1,6,4.08,3.44,0.23,0.23,63,69,0.69,13.05,475,11,48,320,132,82,83.3333333333
Alex Caceres,35,21,11,4,7,10,0,0,1437,2843,9,19,4.16,2.93,0.56,0.69,63,65,0.22,11.55,1227,125,85,907,353,177,60
Daniel Pineda,43,28,28,9,19,0,0,0,298,606,11,44,3.09,3.18,1.71,1.71,47,49,0.31,08.35,177,20,101,200,44,54,65.1162790698
Edson Barboza,35,24,14,14,0,10,2,0,1426,3169,11,22,4.18,4.34,0.48,0.09,58,75,0.70,11.45,1303,63,60,626,449,351,68.5714285714
Tucker Lutz,16,12,8,6,2,4,0,0,310,661,11,25,3.74,3.25,1.99,0.18,44,69,0.00,13.48,255,30,25,168,78,64,75
Pat Sabatini,23,18,13,2,11,5,0,0,114,191,14,33,2.02,1.54,3.73,1.86,49,50,0.27,08.03,44,10,60,86,20,8,78.2608695652
Diego Lopes,29,23,23,9,12,0,2,0,70,131,0,1,2.47,4.91,0.00,5.29,37,43,0.53,07.05,48,8,14,55,11,4,79.3103448276
Thiago Santos,33,22,15,15,0,7,0,0,888,1844,14,42,3.72,2.57,0.88,0.06,54,66,0.88,09.57,512,150,226,455,204,229,66.6666666667
Jamahal Hill,13,12,7,7,0,5,4,1,608,1115,0,0,7.31,3.35,0.00,0.00,48,73,0.72,09.14,481,71,56,407,153,48,92.3076923077
Paul Craig,25,17,17,4,13,0,0,0,329,710,16,71,2.42,2.86,1.76,1.65,45,38,0.11,08.00,195,54,80,179,95,55,68
Brendan Allen,28,23,19,5,14,4,6,0,470,863,11,23,3.87,3.60,1.36,1.73,47,59,0.49,08.40,338,35,97,291,112,67,82.1428571429
Bruno Silva,33,23,20,20,0,3,0,0,304,586,5,18,4.43,5.33,1.09,0.00,43,73,0.44,08.35,214,32,58,224,50,30,69.696969697
Shara Magomedov,12,12,10,10,0,2,12,0,113,154,0,0,7.53,4.33,0.00,0.00,29,57,0.00,15.00,74,15,24,56,22,35,100
